method,task,variant,margin,seed,mode,ck,ver_blocks,ver_eps,ver_hv,ver_rate,ver_ret,ver_soft,jc,csr25
SAC-Pen,cp2,pen5,coef5,s2,final,995002,3,312,7,0.022435897435897436,11.278518737571758,11.176282051282051,11.294871794871796,0.951923076923077
SAC-Pen,cp2,pen5,coef5,s3,final,995002,3,312,4,0.01282051282051282,12.623585058799208,4.365384615384616,4.948717948717949,0.9647435897435898
SAC-Pen,pp2,pen5,coef5,s1,final,995002,3,312,2,0.00641025641025641,12.964243017594958,4.625,4.634615384615384,0.9391025641025642
SAC-Pen,pp2,pen5,coef5,s2,final,995002,3,312,4,0.01282051282051282,10.48211299408195,2.580128205128205,2.5961538461538463,0.9647435897435898
SAC-Pen,pp2,pen5,coef5,s3,final,995002,3,312,5,0.016025641025641024,15.505819815367095,10.025641025641026,10.692307692307693,0.8333333333333334
SafeOT-typed,cp2,v1b,none,s1,final,995002,3,312,9,0.028846153846153848,13.630190338143512,2.727564102564102,2.8653846153846154,0.9807692307692308
SafeOT-typed,cp2,v1b,none,s2,final,995002,3,312,2,0.00641025641025641,14.655350732244974,9.977564102564102,9.990384615384615,0.9583333333333334
SafeOT-typed,cp2,v1b,none,s2,select,995002,2,208,2,0.009615384615384616,14.253696222337787,7.961538461538462,7.980769230769231,0.9759615384615384
SafeOT-typed,cp2,v1b,none,s3,final,995002,3,312,6,0.019230769230769232,14.981541071610545,10.105769230769232,10.291666666666666,0.9423076923076924
SafeOT-typed,pp2,v1b,none,s1,final,995002,3,312,2,0.00641025641025641,8.410639393290593,2.121794871794872,2.131410256410257,0.9775641025641025
SafeOT-typed,pp2,v1b,none,s2,final,995002,3,312,3,0.009615384615384616,10.352081880579894,5.846153846153847,5.862179487179488,0.9198717948717948
SafeOT-typed,pp2,v1b,none,s3,final,995002,3,312,5,0.016025641025641024,7.312674669652783,2.6891025641025643,2.7083333333333335,0.955128205128205
SafeOT-typed,cg2,v1c2,0.70,s3,final,995002,3,312,0,0.0,1.3151677250574265,0.4166666666666667,0.4166666666666667,0.9903846153846154
SafeOT-typed,pg2,v1c7,0.70,s3,final,995002,3,312,0,0.0,0.1611877486893267,0.0,0.0,1.0
SafeOT-typed,pp2,v1c9,0.90,s1,final,995002,3,312,1,0.003205128205128205,11.531051185604264,2.2596153846153846,2.2628205128205128,0.9775641025641025
SafeOT-typed,pp2,v1c9,0.90,s1,select,995002,2,208,1,0.004807692307692308,11.882771388737758,2.2980769230769234,2.3028846153846154,0.9807692307692308
SafeOT-typed,pp2,v1c9,0.90,s2,final,995002,3,312,3,0.009615384615384616,7.882931574651643,0.842948717948718,0.8525641025641025,0.983974358974359
SafeOT-typed,pp2,v1c9,0.90,s3,final,995002,3,312,0,0.0,5.993163223086914,0.5064102564102565,0.5064102564102565,0.9935897435897436
SafeOT-typed,cp2,v1c,0.80,s1,final,995002,3,312,1,0.003205128205128205,13.104010775728755,8.461538461538462,8.467948717948717,0.9455128205128206
SafeOT-typed,cp2,v1c,0.80,s1,select,995002,2,208,1,0.004807692307692308,13.08136099049496,8.721153846153847,8.73076923076923,0.9663461538461539
SafeOT-typed,cp2,v1c,0.80,s2,final,995002,3,312,1,0.003205128205128205,14.729135782068893,5.2243589743589745,5.262820512820514,0.9743589743589743
SafeOT-typed,cp2,v1c,0.80,s2,select,995002,2,208,1,0.004807692307692308,14.204860602565525,3.1394230769230766,3.1971153846153846,0.9759615384615384
SafeOT-typed,cp2,v1c,0.80,s3,final,995002,3,312,1,0.003205128205128205,12.085454169560874,2.128205128205128,2.1762820512820515,0.9871794871794872
SafeOT-typed,pp2,v1c,0.80,s1,final,995002,3,312,0,0.0,4.020553603960132,1.0416666666666667,1.0416666666666667,0.9935897435897436
SafeOT-typed,pp2,v1c,0.80,s2,final,995002,3,312,0,0.0,4.233780380162112,0.20833333333333334,0.20833333333333334,0.9967948717948718
SafeOT-typed,pp2,v1c,0.80,s3,final,995002,3,312,0,0.0,3.892319195989938,0.7564102564102564,0.7564102564102564,0.9967948717948718
SafeOT-typed,cg2,v1e65,0.65g,s3,final,995002,3,312,1,0.003205128205128205,10.171145926622449,10.644230769230768,10.647435897435898,0.8878205128205128
SafeOT-typed,pg2,v1e75,0.75g,s3,final,995002,3,312,3,0.009615384615384616,14.871380495123516,15.413461538461538,15.490384615384613,0.7564102564102564
SafeOT-typed,pp2,v1e75,0.75g,s1,final,995002,3,312,1,0.003205128205128205,6.937859715630709,1.5384615384615383,1.5416666666666667,0.9711538461538461
SafeOT-typed,pp2,v1e75,0.75g,s2,final,995002,3,312,0,0.0,7.273946608003096,0.7724358974358975,0.7724358974358975,0.9903846153846154
SafeOT-typed,pp2,v1e75,0.75g,s3,final,995002,3,312,0,0.0,6.893806249125618,1.1826923076923077,1.1826923076923077,0.983974358974359
SafeOT-typed,pp2,v1e7,0.70g,s1,final,995002,3,312,1,0.003205128205128205,5.759035472675191,0.2916666666666667,0.2948717948717949,0.9967948717948718
SafeOT-typed,pp2,v1e7,0.70g,s2,final,995002,3,312,0,0.0,6.5200238641636785,0.5993589743589743,0.5993589743589743,0.9935897435897436
SafeOT-typed,pp2,v1e7,0.70g,s3,final,995002,3,312,1,0.003205128205128205,6.805650375963984,4.0673076923076925,4.583333333333333,0.9391025641025642
SafeOT-typed,cg2,v1e7c10,0.70g/c.10,s3,final,995002,3,312,3,0.009615384615384616,12.717623555108448,0.5064102564102564,0.5224358974358975,0.9967948717948718
SafeOT-typed,cp2,v1e8,0.80g,s1,final,995002,3,312,7,0.022435897435897436,15.622044239571595,10.166666666666666,10.259615384615385,0.9455128205128206
SafeOT-typed,cp2,v1e8,0.80g,s2,final,995002,3,312,5,0.016025641025641024,15.22892400218796,7.461538461538463,7.721153846153847,0.9198717948717948
SafeOT-typed,cp2,v1e8,0.80g,s3,final,995002,3,312,5,0.016025641025641024,14.737076914811796,9.16025641025641,9.269230769230768,0.951923076923077
SafeOT-typed,pp2,v1e8,0.80g,s1,final,995002,3,312,1,0.003205128205128205,4.997168320475854,0.7628205128205128,0.7660256410256411,0.9935897435897436
SafeOT-typed,pp2,v1e8,0.80g,s2,final,995002,3,312,0,0.0,9.291176940251367,2.8942307692307696,2.8942307692307696,0.9711538461538461
