job,env,seed,metric,estimator,cycle,selected_source,accepted,effective_update,middle_solver_accepted,middle_distance_active,recovery,reward_gain,reward_advantage_std,reward_advantage_mean,Jhat,predicted_cost,cost_advantage_std,baseline_seconds,solver_seconds,raw_KL,raw_W2
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,8,old,True,False,True,True,False,1.3366423709843251,3.187870001195264,2.3019189635912576e-08,"[4.432318687438965, 4.02801513671875]","[3.5446930244401567, 3.8736423907085253]","[2.219772427930422, 1.5462730368066864]",0.0,0.7981624603271484,0.01000000062932248,0.015050994070772003
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,9,old,True,False,True,True,False,1.2593955337962162,3.3720634207495985,1.9701352963844934e-08,"[4.6132612228393555, 4.861440181732178]","[3.5729770583982225, 4.9226493391604915]","[2.684069431042332, 1.6205132698683693]",0.0,0.7737829685211182,0.010000000665558777,0.014227308667402287
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,10,old,True,False,True,True,False,2.4046891274019595,4.362121372574923,-1.8129746119181314e-08,"[3.465266704559326, 4.596463203430176]","[2.4173283028599855, 4.500885003056305]","[2.0983696094266735, 1.7239152061615037]",0.0,0.7628569602966309,0.010000001243047563,0.015969156964988025
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,11,old,True,False,True,True,False,1.3196216974381993,4.2819831485060815,2.483526865641276e-10,"[3.994403839111328, 4.538670063018799]","[2.994413740830166, 4.564420207965146]","[2.3811814660970514, 1.6595015433091893]",0.0,0.8025527000427246,0.009999998179449224,0.017105049419817987
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,12,old,True,False,True,True,False,4.710377874433806,6.009601777290439,6.984919309616089e-08,"[5.732598304748535, 5.2489752769470215]","[4.322233499474993, 4.564511967799874]","[2.226528328018517, 1.5310027974659233]",0.0,0.5211474895477295,0.009999999803552796,0.016698733753207493
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,13,old,True,False,True,True,False,1.6257876905760973,2.799940690624347,-4.36945507923762e-09,"[4.707367897033691, 4.171663761138916]","[4.506995390790484, 3.802522127506627]","[2.232498260291932, 1.8397739575432202]",0.0,0.4803807735443115,0.010000000093731417,0.018086140814745792
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,14,old,True,False,True,True,False,0.5997710054369181,2.2954156320770887,5.344239374001821e-08,"[4.594721794128418, 4.755293846130371]","[4.0234029835810565, 5.999999871532699]","[1.6001105302491612, 2.0374532855983065]",0.0,0.47707033157348633,0.009999999061158728,0.015183179602146568
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,15,old,True,False,True,True,False,2.9052009327408195,4.100028486613317,6.509944796562195e-08,"[4.892645359039307, 4.358517646789551]","[3.550742186383134, 3.8239668390886647]","[2.0983927937990066, 1.9875469526354332]",0.0,0.4451119899749756,0.009999998802059377,0.017416894446794593
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,16,joint_KL,True,True,True,True,False,1.7648369188266577,3.088465409823384,2.960829685131709e-09,"[4.381603240966797, 3.938493251800537]","[3.4074616136323055, 4.162825116983546]","[2.368366436325251, 1.6528068723875338]",0.0,0.5048344135284424,0.009999999954211171,0.01646075279593689
development_DiagReachK2_s187_KL_time_loo,DiagReachK2,187,KL,time_loo,17,joint_KL,True,True,True,True,False,2.4017781280379147,3.499195064925051,4.262449995925029e-08,"[4.318899631500244, 5.653725624084473]","[4.114416084109009, 4.362955053758675]","[2.0605536065988432, 1.9523778033907824]",0.0,0.5310952663421631,0.010000002098242554,0.018231770390123848
