env,seed,anchor,target,metric,channel,old_sample_risk,old_det_risk,predicted_sample_risk,measured_sample_risk,measured_det_risk,predicted_delta,sample_delta,det_delta,proxy_minus_sample,sample_minus_det,proxy_minus_det,outside_probability_range
DiagReachK3,186,21,raw,KL,0,0.3125,0.0,0.4018938267897576,0.359375,0.015625,0.08939382678975757,0.046875,0.015625,0.042518826789757574,0.03125,0.07376882678975757,False
DiagReachK3,186,21,raw,KL,1,0.15625,0.0,0.24484159875681638,0.296875,0.0,0.0885915987568164,0.140625,0.0,-0.052033401243183605,0.140625,0.0885915987568164,False
DiagReachK3,186,21,raw,KL,2,0.15625,0.0,0.2560851735854793,0.234375,0.0,0.09983517358547926,0.078125,0.0,0.02171017358547926,0.078125,0.09983517358547926,False
DiagReachK3,186,21,raw,KL,any,0.375,0.0,0.4920702619378239,0.46875,0.015625,0.11707026193782386,0.09375,0.015625,0.023320261937823855,0.078125,0.10144526193782386,False
DiagReachK3,186,21,raw,W2,0,0.3125,0.0,0.4522978754453969,0.359375,0.53125,0.1397978754453969,0.046875,0.53125,0.0929228754453969,-0.484375,-0.3914521245546031,False
DiagReachK3,186,21,raw,W2,1,0.15625,0.0,0.2644509157419983,0.296875,0.0,0.10820091574199832,0.140625,0.0,-0.03242408425800168,0.140625,0.10820091574199832,False
DiagReachK3,186,21,raw,W2,2,0.15625,0.0,0.2852501702671728,0.28125,0.0,0.1290001702671728,0.125,0.0,0.004000170267172809,0.125,0.1290001702671728,False
DiagReachK3,186,21,raw,W2,any,0.375,0.0,0.5405050341526315,0.46875,0.53125,0.16550503415263154,0.09375,0.53125,0.07175503415263154,-0.4375,-0.3657449658473685,False
DiagReachK3,186,23,shaped,KL,0,0.265625,0.0,0.28111295776672107,0.4375,0.9375,0.015487957766721051,0.171875,0.9375,-0.15638704223327896,-0.765625,-0.9220120422332789,False
DiagReachK3,186,23,shaped,KL,1,0.265625,0.0,0.2927013869441002,0.25,0.0,0.027076386944100167,-0.015625,0.0,0.04270138694410017,-0.015625,0.027076386944100167,False
DiagReachK3,186,23,shaped,KL,2,0.25,0.0,0.2858324349190201,0.265625,0.0,0.0358324349190201,0.015625,0.0,0.0202074349190201,0.015625,0.0358324349190201,False
DiagReachK3,186,23,shaped,KL,any,0.40625,0.0,0.42525790524374135,0.515625,0.9375,0.019007905243741338,0.109375,0.9375,-0.09036709475625866,-0.828125,-0.9184920947562587,False
DiagReachK3,186,23,shaped,W2,0,0.265625,0.0,0.2804867469963904,0.515625,0.96875,0.014861746996390438,0.25,0.96875,-0.23513825300360958,-0.71875,-0.9538882530036096,False
DiagReachK3,186,23,shaped,W2,1,0.265625,0.0,0.29617600093596913,0.25,0.0,0.03055100093596914,-0.015625,0.0,0.046176000935969144,-0.015625,0.03055100093596914,False
DiagReachK3,186,23,shaped,W2,2,0.25,0.0,0.2951368017560945,0.265625,0.0,0.045136801756094545,0.015625,0.0,0.029511801756094545,0.015625,0.045136801756094545,False
DiagReachK3,186,23,shaped,W2,any,0.40625,0.0,0.4206474018011088,0.5625,0.96875,0.014397401801108808,0.15625,0.96875,-0.14185259819889118,-0.8125,-0.9543525981988912,False
DiagReachK3,186,23,raw,KL,0,0.265625,0.0,0.33844193054467003,0.53125,1.0,0.07281693054467002,0.265625,1.0,-0.19280806945532997,-0.734375,-0.92718306945533,False
DiagReachK3,186,23,raw,KL,1,0.265625,0.0,0.3391543320668945,0.328125,0.96875,0.07352933206689452,0.0625,0.96875,0.01102933206689452,-0.90625,-0.8952206679331055,False
DiagReachK3,186,23,raw,KL,2,0.25,0.0,0.32728162007666217,0.34375,1.0,0.07728162007666214,0.09375,1.0,-0.016468379923337856,-0.90625,-0.9227183799233378,False
DiagReachK3,186,23,raw,KL,any,0.40625,0.0,0.5082483961217543,0.609375,1.0,0.10199839612175433,0.203125,1.0,-0.10112660387824567,-0.796875,-0.8980016038782457,False
DiagReachK3,186,23,raw,W2,0,0.265625,0.0,0.417310593341208,0.578125,1.0,0.15168559334120804,0.3125,1.0,-0.16081440665879196,-0.6875,-0.848314406658792,False
DiagReachK3,186,23,raw,W2,1,0.265625,0.0,0.34842759232424253,0.375,1.0,0.08280259232424253,0.109375,1.0,-0.02657240767575747,-0.890625,-0.9171974076757574,False
DiagReachK3,186,23,raw,W2,2,0.25,0.0,0.3390679106669532,0.390625,1.0,0.08906791066695316,0.140625,1.0,-0.05155708933304684,-0.859375,-0.9109320893330468,False
DiagReachK3,186,23,raw,W2,any,0.40625,0.0,0.590405155969677,0.671875,1.0,0.184155155969677,0.265625,1.0,-0.08146984403032301,-0.734375,-0.815844844030323,False
DiagReachK3,187,26,shaped,KL,0,0.21875,0.0,0.21087426219720412,0.1875,0.0,-0.007875737802795888,-0.03125,0.0,0.023374262197204114,-0.03125,-0.007875737802795888,False
DiagReachK3,187,26,shaped,KL,1,0.25,0.0,0.13015589935475097,0.125,0.0,-0.11984410064524903,-0.125,0.0,0.00515589935475097,-0.125,-0.11984410064524903,False
DiagReachK3,187,26,shaped,KL,2,0.078125,0.0,0.028032803966101527,0.03125,0.0,-0.05009219603389847,-0.046875,0.0,-0.003217196033898473,-0.046875,-0.05009219603389847,False
DiagReachK3,187,26,shaped,KL,any,0.421875,0.0,0.32031476955666943,0.296875,0.0,-0.10156023044333057,-0.125,0.0,0.023439769556669432,-0.125,-0.10156023044333057,False
DiagReachK3,187,26,shaped,W2,0,0.21875,0.0,0.20418263087812377,0.203125,0.0,-0.014567369121876223,-0.015625,0.0,0.0010576308781237772,-0.015625,-0.014567369121876223,False
DiagReachK3,187,26,shaped,W2,1,0.25,0.0,0.15541491719705863,0.171875,0.0,-0.09458508280294137,-0.078125,0.0,-0.016460082802941367,-0.078125,-0.09458508280294137,False
